run_id	commit	resolution	wall_time_ms	model_ms	decode_ms	encode_ms	peak_vram_gb	text_score	layout_score	motion_score	loop_error	status	description
20260424T094510Z-modal-ltx-s4-seed585-768x448	nogit	768x448	1324.350	573.453	0.000	204.055	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094511Z-modal-ltx-s6-seed585-768x448	nogit	768x448	1500.463	685.401	0.000	215.744	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094513Z-modal-ltx-s8-seed585-768x448	nogit	768x448	1559.943	790.053	0.000	215.870	14.0137	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094514Z-modal-ltx-s2-seed585-896x512	nogit	896x512	1542.944	659.277	0.000	214.772	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094516Z-modal-ltx-s3-seed585-896x512	nogit	896x512	1521.238	745.370	0.000	217.694	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094517Z-modal-ltx-s4-seed585-896x512	nogit	896x512	1603.619	823.711	0.000	213.388	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
20260424T094519Z-modal-ltx-s6-seed585-896x512	nogit	896x512	1772.923	976.640	0.000	213.654	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=6 guidance=1.0
20260424T094521Z-modal-ltx-s8-seed585-896x512	nogit	896x512	1958.108	1136.900	0.000	215.007	14.1189	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=8 guidance=1.0
20260424T094523Z-modal-ltx-s2-seed585-960x544	nogit	960x544	1613.291	761.329	0.000	230.760	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=2 guidance=1.0
20260424T094524Z-modal-ltx-s3-seed585-960x544	nogit	960x544	1662.180	844.531	0.000	234.142	14.1679	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=3 guidance=1.0
20260424T094526Z-modal-ltx-s4-seed585-960x544	nogit	960x544	1732.369	939.740	0.000	231.245	14.1682	NA	NA	NA	NA	near_miss	Modal LTX I2V steps=4 guidance=1.0
